"","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"Alabama",0,5595612.56196278,2306930.50317325,569982.153057825,3005034.06690443,1821155.84214561,1587092.63674191,1231444.94332082,1116330.99066821,622386.233325642,317825.972900472,6949030.09632189,2722201.56126391,833294.202645031,791020.006265899,1187599.46425414,1221945.98108548,545572.726367858,524184.113307186,2057765.57382539,1141424.31780607,1689771.96040566,1289942.38264249,1629151.54689404,266080.020662896,801708.300082144,2496222.08794869,1504075.42532305,2767892.50431665,1796398.33133525,1362691.42220271,1796334.42594951,1501915.63901075,751745.736267995,1994832.32761271,907737.953153172,1030764.54581431,3169689.22550511,1205483.23045006,1672674.83002331,566340.400562177,1738465.96963022,344326.580404657,1187872.1000914,2343974.96129573,1755752.59986001,896564.943107379,3257633.71206846,858805.167004701,1343134.09103523,2137785.92846878
"Alaska",5595612.56196278,0,4305438.56198325,5124117.89197322,3701338.87920215,4119597.50316601,5458310.53999828,5566556.76240766,5500919.06516507,6204785.35238356,5773505.86912986,4872415.78905762,3210913.75711967,4804036.50206389,4959717.89805438,4410576.08120584,4502521.73567428,5224296.55078484,5509534.9413816,5282939.11684487,5498405.47643762,5443823.5972824,4602958.3044682,4000868.81245211,5462176.07611414,4800010.56968126,3195732.17958609,4154822.99017942,3602489.46221147,5325782.15143011,5496176.36625089,4533059.46339053,5204112.00385373,5697011.75171972,3600781.13811872,5094162.15332697,4817162.47545819,2996370.69303831,5282751.14424298,5508948.1818402,5777259.80002557,3873265.69369132,5329053.19050748,5125217.32599715,3815516.74990454,5239737.55893609,5539964.18847802,2677814.78855221,5350492.33549916,4355138.20089763,3655989.23231434
"Arizona",2306930.50317325,4305438.56198325,0,1761807.12977877,776443.664685576,756940.385102148,3486425.29925522,3254003.27907445,3123468.82525759,2835641.78629155,2621186.66020885,4647748.94635651,1147110.10233379,2088852.16698409,2332179.28628828,1806552.8201719,1278673.81072906,2398697.71845627,1875189.78840568,3784833.22009098,3142479.3392504,3563627.4825949,2509939.61234568,1980827.50445057,2046581.74372371,1779237.77390892,1429182.3820905,1316508.70080008,714874.165843311,3587810.41852272,3322367.62763368,510606.794498333,3262885.84183497,2939392.67917435,1737138.27878988,2632618.6771253,1301295.41007921,1318204.02801906,3059028.57459859,3584008.37871317,2828264.52001581,1495639.35214674,2308851.99004571,1193939.06724623,558321.606172255,3503700.1939282,2968483.24925022,1630994.52727988,2810265.20675347,2180081.16735228,1031772.95437667
"Arkansas",569982.153057825,5124117.89197322,1761807.12977877,0,2440575.69474047,1251538.23586126,1874609.70473852,1573032.38831494,1443305.27222682,1173027.00693441,869969.985256259,6409552.28525802,2163900.96400044,639326.639874793,777817.115189632,802428.373634107,663956.521014944,705512.504015143,426237.908803861,2281708.18516203,1465887.01718413,1968499.09254985,1209719.5701076,1274167.07635151,351055.611412471,384271.918165881,1970880.84600827,978231.90021611,2198392.31026823,2038973.93941592,1673191.77448272,1253382.69692556,1713411.09026757,1189883.69727536,1546463.55358027,1040328.39487495,466168.630836672,2604833.9232917,1446642.15447067,1969928.12929983,1066513.58708664,1251804.28751056,563720.75883421,745642.664935749,1774063.51765159,1975425.03904244,1255061.98287709,2707696.50443769,1133182.20022881,1100418.69207838,1584986.58343935
"California",3005034.06690443,3701338.87920215,776443.664685576,2440575.69474047,0,1236474.61915319,4006696.15102446,3824502.51113479,3697665.69386802,3566085.0227037,3310539.65492735,4026465.89167153,894870.276209128,2642848.90990395,2892406.35472958,2285436.80426236,1857967.2206997,3010304.51264256,2613234.93797578,4233801.32444117,3713768.6364858,4071497.37462694,2960100.8504602,2311102.54517097,2754474.11778329,2374950.06346278,1362662.25971253,1758753.35045539,344054.355960476,4069272.93300708,3870539.56689512,1244908.42463932,3759349.63065691,3574652.09112872,1929119.66775035,3184617.44919178,1975149.44997233,755131.774147327,3597231.51906019,4102099.63997802,3492209.49338985,1806641.74157383,2954936.93790713,1953811.95189511,721918.439631463,3978040.92589456,3570125.37318666,1135679.81395535,3394287.45932167,2600632.79685983,1202166.2167926
"Colorado",1821155.84214561,4119597.50316601,756940.385102148,1251538.23586126,1236474.61915319,0,2788224.87851609,2590753.64730982,2463107.03049083,2418031.27951277,2111917.59852366,5260877.68808192,959940.831685697,1408819.98853076,1658208.56155044,1075612.73067844,625441.97779511,1775526.49888302,1514696.05001252,3053919.83350442,2479689.53926692,2858554.76755786,1773536.06301096,1224553.57124804,1590506.23770783,1140293.16194912,954502.133070664,564635.990380225,958014.722088241,2869497.25151504,2642020.13740247,511864.295952936,2550632.87392043,2342993.57264317,1025270.84539924,1953032.53413132,807647.400969065,1365960.65342366,2370889.81107901,2884824.08843379,2272784.91506577,749361.497256581,1731048.08273072,1007620.18324474,530241.866233254,2781884.61380059,2333693.55856245,1523590.29276629,2158233.65594953,1432444.66461037,474926.195744925
"Connecticut",1587092.63674191,5458310.53999828,3486425.29925522,1874609.70473852,4006696.15102446,2788224.87851609,0,375712.410725178,472830.364018239,1689291.31773329,1376174.66699839,8025622.79456885,3392270.67593087,1398016.49208087,1159259.0626577,1721268.08024579,2207756.56407613,1170359.35246068,2081170.12700918,502668.976038993,447640.63268745,104042.098654279,1076536.75077606,1801306.30947876,1793624.10632727,1719626.75238542,2975489.42504439,2247947.21771925,3691392.44743037,247236.132565292,228307.264229754,3018324.52290689,274200.951419696,888332.761715524,2283990.48775494,859885.269923452,2249802.3499703,3867565.94781826,433024.15708076,97743.3019592071,1116640.4706015,2252073.68221383,1343961.83741507,2620210.62959741,3284813.35066879,271860.83058222,695625.806165011,3787587.22699349,749514.062732979,1441186.82763955,2854643.31388206
"Delaware",1231444.94332082,5566556.76240766,3254003.27907445,1573032.38831494,3824502.51113479,2590753.64730982,375712.410725178,0,131167.87875493,1315648.74119385,1004526.95863327,7850878.67819836,3278663.22543519,1181986.46501076,932545.122726511,1559187.01545467,1984325.34016578,872048.095166089,1738674.12159889,876804.818073145,111593.412146502,479155.549471567,1015903.38514466,1735696.88249037,1452806.89199352,1474852.15529071,2896066.39354652,2078508.7921222,3523486.16002216,615695.474190259,151305.177799504,2768487.08674217,440241.814623006,513532.299364806,2222267.96764856,641825.513179631,1980933.38236576,3756518.27035466,287095.681198065,448902.106918501,741612.418310964,2135206.2069997,1020163.0665916,2315015.22992555,3105389.83843834,611747.977723795,335323.163710416,3715233.15028157,446101.107912648,1354254.65839835,2716018.83706186
"District of Columbia",1116330.99066821,5500919.06516507,3123468.82525759,1443305.27222682,3697665.69386802,2463107.03049083,472830.364018239,131167.87875493,0,1245748.08163216,905856.111335997,7723760.57750976,3161922.95159267,1054817.00264392,805259.957255002,1438230.98503975,1854895.66293401,741298.145204901,1617727.96216566,962178.239670868,25195.2703213171,576538.916139686,923267.524418675,1633208.80993991,1330979.35455011,1344470.66844025,2786367.61330827,1954925.01085484,3398447.76907757,698103.002324281,246424.561912746,2637439.18043342,466197.352268407,427665.282419025,2118241.02950441,519236.699196649,1849776.62847386,3639677.74339651,228588.029189396,556372.141716869,654213.977018834,2020126.88091198,892934.740170257,2186122.7231649,2979279.84956348,678101.146031299,222912.875978416,3605624.40561215,314933.234528061,1249847.54197028,2595925.38565698
"Florida",622386.233325642,6204785.35238356,2835641.78629155,1173027.00693441,3566085.0227037,2418031.27951277,1689291.31773329,1315648.74119385,1245748.08163216,0,454738.137441438,7438266.09118746,3336379.18958001,1408753.37168783,1297973.96526711,1794564.48715218,1835241.08557728,1022655.51820388,960943.739187571,2191805.69637587,1268650.94159475,1791090.23774299,1763754.98843858,2216354.83214062,827626.246375737,1422415.02326369,3118595.79858563,2126024.74502639,3349878.40937623,1931338.96563537,1466727.72604861,2330855.03878187,1706468.28128654,820386.601639988,2606317.96381561,1293374.37094873,1613333.04973512,3777134.79442061,1423259.63182358,1751699.87056309,604477.270208219,2358709.6959655,881526.509957286,1656447.50219016,2931699.92877836,1921765.10830017,1041418.45315747,3876398.7477864,1123110.57425105,1896683.21849245,2754820.62111799
"Georgia",317825.972900472,5773505.86912986,2621186.66020885,869969.985256259,3310539.65492735,2111917.59852366,1376174.66699839,1004526.95863327,905856.111335997,454738.137441438,0,7265363.22298794,2989496.25370332,969579.792199406,844118.846522896,1372500.86635078,1499259.42888592,568691.377471324,827888.950083257,1867579.69318249,930785.582845266,1480215.72925239,1310531.28382539,1775786.51512163,583808.609377709,1034059.06734043,2732427.97656633,1752617.19234436,3064964.14731915,1603447.36558364,1147879.08247508,2110641.85693635,1338718.48492558,494381.350734392,2184213.05482078,850301.731203082,1335672.87989691,3445641.83766228,1043128.99967398,1453397.56959585,276159.603323942,1956934.46484754,446095.606883324,1504553.89003025,2638924.87996049,1576961.09895067,684074.370856047,3513168.44092215,712854.813994113,1446114.81558249,2401446.79497245
"Hawaii",6949030.09632189,4872415.78905762,4647748.94635651,6409552.28525802,4026465.89167153,5260877.68808192,8025622.79456885,7850878.67819836,7723760.57750976,7438266.09118746,7265363.22298794,0,4676567.1329429,6669027.09697448,6918569.0022406,6307015.33385184,5876021.96348314,7026103.55743695,6485783.79817982,8213382.56599817,7740053.08249166,8085719.72736405,6963091.31605539,6271537.43514188,6685419.80663875,6392860.40712043,5143358.26277084,5780815.36872239,4334602.64668131,8071434.02453696,7895919.80759191,5157003.55598208,7771595.11241224,7580796.3047827,5824962.68718965,7211046.17362355,5947671.45153866,4222786.16251851,7621865.47682976,8119803.67446958,7475959.93710623,5786580.38086955,6952328.40695278,5786009.85092537,4746783.24449167,7977492.13812492,7591089.47915803,4413722.64772531,7418786.32334448,6598173.82188786,5176776.75867075
"Idaho",2722201.56126391,3210913.75711967,1147110.10233379,2163900.96400044,894870.276209128,959940.831685697,3392270.67593087,3278663.22543519,3161922.95159267,3336379.18958001,2989496.25370332,4676567.1329429,0,2143843.63550247,2381858.1542024,1729525.37377678,1501262.7532131,2565908.14912876,2465919.92216528,3539681.51734512,3173421.76773744,3441135.77580514,2316019.15125634,1602253.45837882,2513006.35638213,1962474.85154928,490314.959027783,1247137.87681363,582384.349635058,3411070.4494536,3294122.44159272,1323161.02986082,3126991.41443302,3136729.96585977,1148705.82571709,2644448.90240794,1750927.4053302,477856.48077204,3019293.85267278,3482170.16609532,3109771.6213707,1144737.23678521,2571672.20040794,1955140.85672826,611279.825238447,3315380.14727341,3079102.34534059,564343.317059359,2886204.98630466,1951115.13047158,588853.062666734
"Illinois",833294.202645031,4804036.50206389,2088852.16698409,639326.639874793,2642848.90990395,1408819.98853076,1398016.49208087,1181986.46501076,1054817.00264392,1408753.37168783,969579.792199406,6669027.09697448,2143843.63550247,0,249557.56827613,426083.528889035,810577.208154299,438031.343973953,1027246.66179938,1733056.08559088,1071038.81242204,1477560.51167445,571222.062056614,807699.740562902,811743.073566503,338155.516627999,1818792.21751072,909223.436822419,2345479.67737669,1514138.20046001,1236858.51597238,1622942.34382994,1184802.08863207,996218.418395107,1223076.92401608,546005.834139848,881471.599432959,2618319.30666827,970419.618373825,1495693.46097402,1003189.66607369,1032132.8474568,527379.364705777,1318582.50841644,1924845.78773954,1436690.2807663,940585.936445419,2626805.92537582,754994.196673389,513253.473102611,1563452.68050029
"Indiana",791020.006265899,4959717.89805438,2332179.28628828,777817.115189632,2892406.35472958,1658208.56155044,1159259.0626577,932545.122726511,805259.957255002,1297973.96526711,844118.846522896,6918569.0022406,2381858.1542024,249557.56827613,0,653380.265971587,1055863.28005162,275428.344777997,1107408.26059233,1520328.11202066,821525.070211409,1242694.6007201,499777.514877969,963487.654717814,850298.571792688,560565.456529254,2040042.57381465,1155082.568884,2594444.15610583,1290204.98201778,990546.927008609,1859189.34368079,960232.961731987,774978.468112133,1415279.8275237,300600.044812534,1096628.03027445,2857820.06247607,728152.778474969,1256985.48127533,818372.11506505,1256092.19878249,448035.956263291,1503125.80076296,2174267.24407515,1218061.58199602,697427.126873451,2853700.87054662,507689.241889343,608026.558970361,1805368.42989567
"Iowa",1187599.46425414,4410576.08120584,1806552.8201719,802428.373634107,2285436.80426236,1075612.73067844,1721268.08024579,1559187.01545467,1438230.98503975,1794564.48715218,1372500.86635078,6307015.33385184,1729525.37377678,426083.528889035,653380.265971587,0,574850.692663955,863353.535574572,1228654.78083824,1980386.26015053,1451311.14097021,1787385.8462968,703477.341441565,471760.598174185,1090145.48706422,422236.122224299,1392851.60252092,526731.585506589,1972637.33487463,1794085.78837102,1591003.95250837,1391866.52560654,1477110.706136,1420364.42729243,812533.91549874,919020.415203363,799126.720624346,2206217.62511347,1315908.27337855,1816796.97491757,1427256.2849028,606302.150297228,926584.638224777,1285609.73969017,1563545.52970803,1706271.88434042,1349869.7608544,2202580.20193642,1156717.68050677,400952.11491914,1157825.6344895
"Kansas",1221945.98108548,4502521.73567428,1278673.81072906,663956.521014944,1857967.2206997,625441.97779511,2207756.56407613,1984325.34016578,1854895.66293401,1835241.08557728,1499259.42888592,5876021.96348314,1501262.7532131,810577.208154299,1055863.28005162,574850.692663955,0,1152417.78168516,1009242.84250424,2518464.26835663,1872773.29148154,2285283.97254988,1261993.4372049,927459.655971107,1014590.77047772,517296.10914643,1321083.34436766,358917.281488603,1582993.98437813,2313156.26075169,2046325.19739443,827855.053857017,1986460.76100668,1717923.36918951,1009321.83401019,1355623.88570721,331863.2447328,1948529.68443724,1780995.79658532,2305334.93258948,1649231.19558268,678589.205571349,1106711.30795282,783392.427962094,1155350.92697558,2231128.7542295,1715072.84352089,2043793.16279462,1545275.42523531,975235.392005887,921051.916826093
"Kentucky",545572.726367858,5224296.55078484,2398697.71845627,705512.504015143,3010304.51264256,1775526.49888302,1170359.35246068,872048.095166089,741298.145204901,1022655.51820388,568691.377471324,7026103.55743695,2565908.14912876,438031.343973953,275428.344777997,863353.535574572,1152417.78168516,0,945063.573425023,1594749.68479948,763123.780520117,1265738.4635865,756547.311736149,1223709.49643094,664406.918101714,635396.996806036,2254803.98908725,1320841.40897502,2729058.01925421,1344376.72630004,967797.318763908,1904728.75165017,1025472.76225723,573157.24260199,1658110.65545733,374977.465209845,1111742.09681447,3037024.68609718,746399.125903583,1265122.67676406,565556.154040572,1468285.43259737,208319.008384552,1450931.20961831,2302905.5329552,1287480.49382551,569879.061057627,3059380.39259269,428423.355167542,880157.681578892,1980408.74818696
"Louisiana",524184.113307186,5509534.9413816,1875189.78840568,426237.908803861,2613234.93797578,1514696.05001252,2081170.12700918,1738674.12159889,1617727.96216566,960943.739187571,827888.950083257,6485783.79817982,2465919.92216528,1027246.66179938,1107408.26059233,1228654.78083824,1009242.84250424,945063.573425023,0,2531948.86864018,1642400.20763924,2181749.21030337,1582671.40778545,1700375.35218524,287600.678542183,809566.82164746,2329455.94067726,1355085.14642261,2413438.38322112,2275905.32110106,1862056.83096426,1372519.26232094,1965188.10556798,1273994.32010748,1957162.14963681,1317464.62492687,716190.595051062,2879728.93357279,1676625.14206223,2170739.54867174,1089339.99225649,1650100.39222168,746468.164043638,699791.447055856,2005351.03232944,2225551.65727436,1403812.60220474,3023645.4559982,1335110.2396824,1514734.86981249,1908976.09601656
"Maine",2057765.57382539,5282939.11684487,3784833.22009098,2281708.18516203,4233801.32444117,3053919.83350442,502668.976038993,876804.818073145,962178.239670868,2191805.69637587,1867579.69318249,8213382.56599817,3539681.51734512,1733056.08559088,1520328.11202066,1980386.26015053,2518464.26835663,1594749.68479948,2531948.86864018,0,937455.022666586,402439.335560826,1280760.1436651,1942036.68487068,2245403.17242907,2069640.33772719,3087721.11834664,2493706.18391549,3904082.35777077,264134.250042203,726545.245870986,3344920.88445512,569592.679488132,1386125.03635969,2395570.95635122,1241405.66386766,2612316.57335769,4003630.13269725,855874.33787011,450897.876318258,1614264.60806255,2433918.7858454,1785894.76450697,3020273.69169877,3518600.38839516,307288.407965,1183522.47140563,3874108.25187649,1201051.84831417,1633819.62088042,3045445.74521922
"Maryland",1141424.31780607,5498405.47643762,3142479.3392504,1465887.01718413,3713768.6364858,2479689.53926692,447640.63268745,111593.412146502,25195.2703213171,1268650.94159475,930785.582845266,7740053.08249166,3173421.76773744,1071038.81242204,821525.070211409,1451311.14097021,1872773.29148154,763123.780520117,1642400.20763924,937455.022666586,0,551361.062338345,926552.406509178,1639731.91981684,1355573.68148385,1363301.24512692,2795348.19009762,1969263.19899427,3413559.80209489,673419.141268175,221290.025490856,2657356.89303969,445830.711222583,451418.516973914,2125332.59651535,532766.019388864,1870558.22362282,3651233.30756871,220002.458335561,531258.478029423,678355.796906354,2030922.46371434,916598.412800273,2209086.51656731,2994957.54214128,654375.226434311,248067.72946851,3614624.43495242,335779.475881632,1256843.30059784,2608733.97915474
"Massachusetts",1689771.96040566,5443823.5972824,3563627.4825949,1968499.09254985,4071497.37462694,2858554.76755786,104042.098654279,479155.549471567,576538.916139686,1791090.23774299,1480215.72925239,8085719.72736405,3441135.77580514,1477560.51167445,1242694.6007201,1787385.8462968,2285283.97254988,1265738.4635865,2181749.21030337,402439.335560826,551361.062338345,0,1126323.46386385,1844054.12632485,1894153.36458174,1803183.66860397,3016653.30467152,2313317.96419691,3753153.77069058,158935.131285092,332348.598774939,3099994.05556714,314700.205372191,992157.909011875,2323039.64907107,945423.992698559,2336713.66733187,3914940.5706523,522610.955977617,68085.9116168763,1220435.70246941,2305001.93661106,1442596.57471125,2713784.45919603,3349981.65718103,212734.304693571,799407.745666564,3825153.25445841,848239.827924447,1492202.50331219,2910901.929403
"Michigan",1289942.38264249,4602958.3044682,2509939.61234568,1209719.5701076,2960100.8504602,1773536.06301096,1076536.75077606,1015903.38514466,923267.524418675,1763754.98843858,1310531.28382539,6963091.31605539,2316019.15125634,571222.062056614,499777.514877969,703477.341441565,1261993.4372049,756547.311736149,1582671.40778545,1280760.1436651,926552.406509178,1126323.46386385,0,729411.557659031,1340697.57176067,888370.139626732,1902468.24365008,1213020.08893617,2635513.0874799,1110070.05882444,997799.349993642,2088439.28622535,811696.39334272,1102687.23341519,1216007.66790397,499890.98283972,1415389.90189875,2791046.54731235,733301.924353566,1166172.70376342,1221380.69155215,1178855.3916561,945943.760427477,1875893.84722202,2241648.42685336,1018048.89757612,937061.641345217,2718194.83026519,748946.638904857,365899.367195907,1786450.6203878
"Minnesota",1629151.54689404,4000868.81245211,1980827.50445057,1274167.07635151,2311102.54517097,1224553.57124804,1801306.30947876,1735696.88249037,1633208.80993991,2216354.83214062,1775786.51512163,6271537.43514188,1602253.45837882,807699.740562902,963487.654717814,471760.598174185,927459.655971107,1223709.49643094,1700375.35218524,1942036.68487068,1639731.91981684,1844054.12632485,729411.557659031,0,1555026.16406547,893209.643174941,1174261.27572244,686797.770611619,1974147.91452534,1809036.09038014,1726386.77307307,1652820.67495487,1531607.710319,1725931.87091207,487232.376712338,1145520.17564193,1217069.09269823,2072843.57631695,1458388.23338456,1888216.21541488,1781464.09415524,506640.83808549,1335079.08035505,1699510.77209626,1613298.17577978,1713196.96015925,1604691.64679207,1988844.53622886,1406189.06314703,384135.695350999,1110913.7095659
"Mississippi",266080.020662896,5462176.07611414,2046581.74372371,351055.611412471,2754474.11778329,1590506.23770783,1793624.10632727,1452806.89199352,1330979.35455011,827626.246375737,583808.609377709,6685419.80663875,2513006.35638213,811743.073566503,850298.571792688,1090145.48706422,1014590.77047772,664406.918101714,287600.678542183,2245403.17242907,1355573.68148385,1894153.36458174,1340697.57176067,1555026.16406547,0,672839.636645722,2320150.30624259,1326155.14425051,2526950.50034105,1988768.54075214,1574900.72202522,1536309.99301381,1679499.72024037,997744.527518824,1871218.96238694,1038967.997849,787662.123608884,2950112.07174482,1389771.51709617,1883363.36850958,826839.452684774,1589286.55943143,461636.321627036,922381.792600535,2106362.10113285,1939309.89286138,1118466.51368924,3058369.26193898,1047628.10850592,1319981.49015226,1935616.41874416
