"","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"Missouri",801708.300082144,4800010.56968126,1779237.77390892,384271.918165881,2374950.06346278,1140293.16194912,1719626.75238542,1474852.15529071,1344470.66844025,1422415.02326369,1034059.06734043,6392860.40712043,1962474.85154928,338155.516627999,560565.456529254,422236.122224299,517296.10914643,635396.996806036,809566.82164746,2069640.33772719,1363301.24512692,1803183.66860397,888370.139626732,893209.643174941,672839.636645722,0,1700871.467761,719298.231198957,2095187.95905387,1846894.37823715,1545508.44925586,1299647.12036111,1516930.39747214,1203675.50448873,1201943.65488405,859976.88848298,543411.794904895,2425978.20133026,1287782.72103364,1817328.44239428,1150181.73293424,936759.203460302,609405.702516684,987869.316365088,1668423.32851025,1771455.78714946,1198382.24717258,2479662.21772482,1032210.27439065,725785.45132294,1373627.74164956
"Montana",2496222.08794869,3195732.17958609,1429182.3820905,1970880.84600827,1362662.25971253,954502.133070664,2975489.42504439,2896066.39354652,2786367.61330827,3118595.79858563,2732427.97656633,5143358.26277084,490314.959027783,1818792.21751072,2040042.57381465,1392851.60252092,1321083.34436766,2254803.98908725,2329455.94067726,3087721.11834664,2795348.19009762,3016653.30467152,1902468.24365008,1174261.27572244,2320150.30624259,1700871.467761,0,994700.497147739,1028553.46624421,2974760.27452734,2896408.35712448,1435027.60744956,2705191.00702864,2812303.7404627,694958.502776021,2277988.35573845,1625046.06795662,920646.971668925,2625192.79965981,3061908.21118002,2815671.57876219,786675.552721674,2294975.75065613,1940547.06998232,876387.109846922,2878042.43692674,2728117.76467954,819276.503089629,2530714.4717249,1545152.43654234,479749.333842089
"Nebraska",1504075.42532305,4154822.99017942,1316508.70080008,978231.90021611,1758753.35045539,564635.990380225,2247947.21771925,2078508.7921222,1954925.01085484,2126024.74502639,1752617.19234436,5780815.36872239,1247137.87681363,909223.436822419,1155082.568884,526731.585506589,358917.281488603,1320841.40897502,1355085.14642261,2493706.18391549,1969263.19899427,2313317.96419691,1213020.08893617,686797.770611619,1326155.14425051,719298.231198957,994700.497147739,0,1447055.93226698,2316060.49641773,2115800.26517406,966085.656211679,2002073.12031236,1893282.32449588,659141.485915658,1436698.95205454,690069.345137359,1716296.11861595,1841237.520375,2343368.17811196,1862856.96683991,324798.378275832,1326557.03244017,1117351.82817017,1036906.0451115,2226692.368768,1849809.25457934,1760571.31950143,1662749.77097216,867931.515427227,659808.480493407
"Nevada",2767892.50431665,3602489.46221147,714874.165843311,2198392.31026823,344054.355960476,958014.722088241,3691392.44743037,3523486.16002216,3398447.76907757,3349878.40937623,3064964.14731915,4334602.64668131,582384.349635058,2345479.67737669,2594444.15610583,1972637.33487463,1582993.98437813,2729058.01925421,2413438.38322112,3904082.35777077,3413559.80209489,3753153.77069058,2635513.0874799,1974147.91452534,2526950.50034105,2095187.95905387,1028553.46624421,1447055.93226698,0,3745575.62464195,3562853.91337142,1084265.32131734,3439755.33440413,3298844.84578539,1585440.71940447,2881876.74228891,1739600.60177583,606981.619374422,3288200.02119062,3785934.48789958,3230697.62008141,1472010.85257576,2689062.01038744,1792414.20331553,427773.747292403,3653318.79874578,3280921.70434541,946419.074101425,3100058.84632951,2273415.2910881,863366.622970489
"New Hampshire",1796398.33133525,5325782.15143011,3587810.41852272,2038973.93941592,4069272.93300708,2869497.25151504,247236.132565292,615695.474190259,698103.002324281,1931338.96563537,1603447.36558364,8071434.02453696,3411070.4494536,1514138.20046001,1290204.98201778,1794085.78837102,2313156.26075169,1344376.72630004,2275905.32110106,264134.250042203,673419.141268175,158935.131285092,1110070.05882444,1809036.09038014,1988768.54075214,1846894.37823715,2974760.27452734,2316060.49641773,3745575.62464195,0,464668.611421564,3135205.41813048,330065.279209569,1122721.01928279,2279803.47106231,1001737.3649117,2386622.08753058,3881598.64535153,599763.138138409,222659.987392981,1350707.89716953,2284931.29991494,1531145.11941786,2781367.32652461,3349603.3777142,97267.8892035608,919396.1321865,3776091.46101049,942008.540066659,1473633.28337077,2894853.43651679
"New Jersey",1362691.42220271,5496176.36625089,3322367.62763368,1673191.77448272,3870539.56689512,2642020.13740247,228307.264229754,151305.177799504,246424.561912746,1466727.72604861,1147879.08247508,7895919.80759191,3294122.44159272,1236858.51597238,990546.927008609,1591003.95250837,2046325.19739443,967797.318763908,1862056.83096426,726545.245870986,221290.025490856,332348.598774939,997799.349993642,1726386.77307307,1574900.72202522,1545508.44925586,2896408.35712448,2115800.26517406,3562853.91337142,464668.611421564,0,2844539.57504042,315035.680005027,660645.746611546,2213451.65843777,690896.295127822,2065049.93715847,3771545.33630164,275676.023654318,309984.132196372,888982.812923154,2149456.14125948,1131282.81579619,2418207.43283438,3149333.03934958,461570.111041557,468414.613583636,3713975.8860239,540373.972577817,1351366.04893932,2741259.95853102
"New Mexico",1796334.42594951,4533059.46339053,510606.794498333,1253382.69692556,1244908.42463932,511864.295952936,3018324.52290689,2768487.08674217,2637439.18043342,2330855.03878187,2110641.85693635,5157003.55598208,1323161.02986082,1622942.34382994,1859189.34368079,1391866.52560654,827855.053857017,1904728.75165017,1372519.26232094,3344920.88445512,2657356.89303969,3099994.05556714,2088439.28622535,1652820.67495487,1536309.99301381,1299647.12036111,1435027.60744956,966085.656211679,1084265.32131734,3135205.41813048,2844539.57504042,0,2806803.69255624,2436080.50824856,1523475.76211285,2159330.32791688,797342.373382134,1631848.08689734,2587163.2065641,3116065.00795865,2319789.78795424,1223366.00863004,1805223.73326011,712401.640099441,735308.449547421,3055039.26853415,2474224.84733805,1874007.46822828,2322840.69289167,1785323.51201074,961555.671396233
"New York",1501915.63901075,5204112.00385373,3262885.84183497,1713411.09026757,3759349.63065691,2550632.87392043,274200.951419696,440241.814623006,466197.352268407,1706468.28128654,1338718.48492558,7771595.11241224,3126991.41443302,1184802.08863207,960232.961731987,1477110.706136,1986460.76100668,1025472.76225723,1965188.10556798,569592.679488132,445830.711222583,314700.205372191,811696.39334272,1531607.710319,1679499.72024037,1516930.39747214,2705191.00702864,2002073.12031236,3439755.33440413,330065.279209569,315035.680005027,2806803.69255624,0,886103.318173967,2012575.28730464,673896.888076897,2056569.38658572,3601187.51469441,297808.644328733,356730.006182937,1106666.17860432,1990307.24468568,1218722.90600328,2454062.48970632,3038185.68172033,262397.507034602,666184.130728596,3515773.62188487,643430.852157597,1177548.99353938,2596333.62119835
"North Carolina",751745.736267995,5697011.75171972,2939392.67917435,1189883.69727536,3574652.09112872,2342993.57264317,888332.761715524,513532.299364806,427665.282419025,820386.601639988,494381.350734392,7580796.3047827,3136729.96585977,996218.418395107,774978.468112133,1420364.42729243,1717923.36918951,573157.24260199,1273994.32010748,1386125.03635969,451418.516973914,992157.909011875,1102687.23341519,1725931.87091207,997744.527518824,1203675.50448873,2812303.7404627,1893282.32449588,3298844.84578539,1122721.01928279,660645.746611546,2436080.50824856,886103.318173967,0,2188486.3686772,604337.585486017,1639005.75783383,3608994.67147298,606906.071089532,961905.418285611,228338.22398524,2026402.3428988,630865.140096088,1903649.70995336,2871913.38727507,1105745.15286091,223321.067844334,3622737.87225623,359553.899919146,1351220.0935255,2552440.56250229
"North Dakota",1994832.32761271,3600781.13811872,1737138.27878988,1546463.55358027,1929119.66775035,1025270.84539924,2283990.48775494,2222267.96764856,2118241.02950441,2606317.96381561,2184213.05482078,5824962.68718965,1148705.82571709,1223076.92401608,1415279.8275237,812533.91549874,1009321.83401019,1658110.65545733,1957162.14963681,2395570.95635122,2125332.59651535,2323039.64907107,1216007.66790397,487232.376712338,1871218.96238694,1201943.65488405,694958.502776021,659141.485915658,1585440.71940447,2279803.47106231,2213451.65843777,1523475.76211285,2012575.28730464,2188486.3686772,0,1622933.37296008,1340228.23704311,1608109.29800641,1945596.08962006,2369266.21437739,2223254.69405482,334611.140042675,1738118.55618428,1776203.26657725,1279408.5676103,2183085.24340587,2080560.27728297,1503708.27809865,1881758.71515883,868489.304789651,744252.283885191
"Ohio",907737.953153172,5094162.15332697,2632618.6771253,1040328.39487495,3184617.44919178,1953032.53413132,859885.269923452,641825.513179631,519236.699196649,1293374.37094873,850301.731203082,7211046.17362355,2644448.90240794,546005.834139848,300600.044812534,919020.415203363,1355623.88570721,374977.465209845,1317464.62492687,1241405.66386766,532766.019388864,945423.992698559,499890.98283972,1145520.17564193,1038967.997849,859976.88848298,2277988.35573845,1436698.95205454,2881876.74228891,1001737.3649117,690896.295127822,2159330.32791688,673896.888076897,604337.585486017,1622933.37296008,0,1391299.43471526,3122020.91984783,427838.148435249,957533.120725775,726650.772202524,1505010.86548035,582106.044886838,1780173.9172948,2464652.61494866,935415.121815842,459261.140731955,3096473.53896464,261276.087631328,763032.351842098,2076783.68986906
"Oklahoma",1030764.54581431,4817162.47545819,1301295.41007921,466168.630836672,1975149.44997233,807647.400969065,2249802.3499703,1980933.38236576,1849776.62847386,1613333.04973512,1335672.87989691,5947671.45153866,1750927.4053302,881471.599432959,1096628.03027445,799126.720624346,331863.2447328,1111742.09681447,716190.595051062,2612316.57335769,1870558.22362282,2336713.66733187,1415389.90189875,1217069.09269823,787662.123608884,543411.794904895,1625046.06795662,690069.345137359,1739600.60177583,2386622.08753058,2065049.93715847,797342.373382134,2056569.38658572,1639005.75783383,1340228.23704311,1391299.43471526,0,2172880.53749963,1816779.84730283,2347152.49372072,1529155.82084472,1010377.77056357,1008159.21746162,487045.130173383,1318775.60344422,2312873.4304211,1679754.31909617,2307581.05194426,1534879.38751811,1188513.89066888,1193727.85835178
"Oregon",3169689.22550511,2996370.69303831,1318204.02801906,2604833.9232917,755131.774147327,1365960.65342366,3867565.94781826,3756518.27035466,3639677.74339651,3777134.79442061,3445641.83766228,4222786.16251851,477856.48077204,2618319.30666827,2857820.06247607,2206217.62511347,1948529.68443724,3037024.68609718,2879728.93357279,4003630.13269725,3651233.30756871,3914940.5706523,2791046.54731235,2072843.57631695,2950112.07174482,2425978.20133026,920646.971668925,1716296.11861595,606981.619374422,3881598.64535153,3771545.33630164,1631848.08689734,3601187.51469441,3608994.67147298,1608109.29800641,3122020.91984783,2172880.53749963,0,3496846.46791065,3956879.15435882,3575697.15669884,1622372.40884527,3035235.37195318,2315608.80689002,900797.107431904,3785504.76507452,3555223.55585619,383435.502495405,3362916.62653203,2426796.13682227,1056619.56471447
"Pennsylvania",1205483.23045006,5282751.14424298,3059028.57459859,1446642.15447067,3597231.51906019,2370889.81107901,433024.15708076,287095.681198065,228588.029189396,1423259.63182358,1043128.99967398,7621865.47682976,3019293.85267278,970419.618373825,728152.778474969,1315908.27337855,1780995.79658532,746399.125903583,1676625.14206223,855874.33787011,220002.458335561,522610.955977617,733301.924353566,1458388.23338456,1389771.51709617,1287782.72103364,2625192.79965981,1841237.520375,3288200.02119062,599763.138138409,275676.023654318,2587163.2065641,297808.644328733,606906.071089532,1945596.08962006,427838.148435249,1816779.84730283,3496846.46791065,0,530414.730941684,819650.927241084,1874560.19285832,931407.428040472,2191588.75469913,2875718.5588202,551022.869238041,383601.5271958,3443543.88789264,346695.591617581,1080228.37853582,2465588.2631888
"Rhode Island",1672674.83002331,5508948.1818402,3584008.37871317,1969928.12929983,4102099.63997802,2884824.08843379,97743.3019592071,448902.106918501,556372.141716869,1751699.87056309,1453397.56959585,8119803.67446958,3482170.16609532,1495693.46097402,1256985.48127533,1816796.97491757,2305334.93258948,1265122.67676406,2170739.54867174,450897.876318258,531258.478029423,68085.9116168763,1166172.70376342,1888216.21541488,1883363.36850958,1817328.44239428,3061908.21118002,2343368.17811196,3785934.48789958,222659.987392981,309984.132196372,3116065.00795865,356730.006182937,961905.418285611,2369266.21437739,957533.120725775,2347152.49372072,3956879.15435882,530414.730941684,0,1189525.05830444,2343444.74933514,1436167.14825965,2715570.51745837,3380273.80070869,280814.068836467,777759.491194373,3872344.63399724,842188.928547146,1531559.84123133,2947330.90787812
"South Carolina",566340.400562177,5777259.80002557,2828264.52001581,1066513.58708664,3492209.49338985,2272784.91506577,1116640.4706015,741612.418310964,654213.977018834,604477.270208219,276159.603323942,7475959.93710623,3109771.6213707,1003189.66607369,818372.11506505,1427256.2849028,1649231.19558268,565556.154040572,1089339.99225649,1614264.60806255,678355.796906354,1220435.70246941,1221380.69155215,1781464.09415524,826839.452684774,1150181.73293424,2815671.57876219,1862856.96683991,3230697.62008141,1350707.89716953,888982.812923154,2319789.78795424,1106666.17860432,228338.22398524,2223254.69405482,726650.772202524,1529155.82084472,3575697.15669884,819650.927241084,1189525.05830444,0,2030122.0693278,542982.694599887,1747285.69578973,2802952.70648087,1332030.3174758,440553.078961168,3614896.91526758,524771.314883523,1422519.81995879,2521423.5971533
"South Dakota",1738465.96963022,3873265.69369132,1495639.35214674,1251804.28751056,1806641.74157383,749361.497256581,2252073.68221383,2135206.2069997,2020126.88091198,2358709.6959655,1956934.46484754,5786580.38086955,1144737.23678521,1032132.8474568,1256092.19878249,606302.150297228,678589.205571349,1468285.43259737,1650100.39222168,2433918.7858454,2030922.46371434,2305001.93661106,1178855.3916561,506640.83808549,1589286.55943143,936759.203460302,786675.552721674,324798.378275832,1472010.85257576,2284931.29991494,2149456.14125948,1223366.00863004,1990307.24468568,2026402.3428988,334611.140042675,1505010.86548035,1010377.77056357,1622372.40884527,1874560.19285832,2343444.74933514,2030122.0693278,0,1515163.64067135,1441596.23522528,1106739.03636483,2190916.11758022,1948614.75065717,1597609.12041982,1752685.50616522,812997.576463047,611566.052521703
"Tennessee",344326.580404657,5329053.19050748,2308851.99004571,563720.75883421,2954936.93790713,1731048.08273072,1343961.83741507,1020163.0665916,892934.740170257,881526.509957286,446095.606883324,6952328.40695278,2571672.20040794,527379.364705777,448035.956263291,926584.638224777,1106711.30795282,208319.008384552,746468.164043638,1785894.76450697,916598.412800273,1442596.57471125,945943.760427477,1335079.08035505,461636.321627036,609405.702516684,2294975.75065613,1326557.03244017,2689062.01038744,1531145.11941786,1131282.81579619,1805223.73326011,1218722.90600328,630865.140096088,1738118.55618428,582106.044886838,1008159.21746162,3035235.37195318,931407.428040472,1436167.14825965,542982.694599887,1515163.64067135,0,1296931.58116319,2261289.92153394,1479265.12683764,694744.751947702,3084605.85000973,594482.726075603,1021294.48342264,1982864.94815811
"Texas",1187872.1000914,5125217.32599715,1193939.06724623,745642.664935749,1953811.95189511,1007620.18324474,2620210.62959741,2315015.22992555,2186122.7231649,1656447.50219016,1504553.89003025,5786009.85092537,1955140.85672826,1318582.50841644,1503125.80076296,1285609.73969017,783392.427962094,1450931.20961831,699791.447055856,3020273.69169877,2209086.51656731,2713784.45919603,1875893.84722202,1699510.77209626,922381.792600535,987869.316365088,1940547.06998232,1117351.82817017,1792414.20331553,2781367.32652461,2418207.43283438,712401.640099441,2454062.48970632,1903649.70995336,1776203.26657725,1780173.9172948,487045.130173383,2315608.80689002,2191588.75469913,2715570.51745837,1747285.69578973,1441596.23522528,1296931.58116319,0,1415910.50855983,2715252.40924048,1991646.05673904,2518846.31576495,1877909.66420287,1671153.92093962,1470175.8886915
"Utah",2343974.96129573,3815516.74990454,558321.606172255,1774063.51765159,721918.439631463,530241.866233254,3284813.35066879,3105389.83843834,2979279.84956348,2931699.92877836,2638924.87996049,4746783.24449167,611279.825238447,1924845.78773954,2174267.24407515,1563545.52970803,1155350.92697558,2302905.5329552,2005351.03232944,3518600.38839516,2994957.54214128,3349981.65718103,2241648.42685336,1613298.17577978,2106362.10113285,1668423.32851025,876387.109846922,1036906.0451115,427773.747292403,3349603.3777142,3149333.03934958,735308.449547421,3038185.68172033,2871913.38727507,1279408.5676103,2464652.61494866,1318775.60344422,900797.107431904,2875718.5588202,3380273.80070869,2802952.70648087,1106739.03636483,2261289.92153394,1415910.50855983,0,3258977.21158301,2857227.36703824,1143756.42472978,2678289.91606533,1884807.77099708,536053.459107324
"Vermont",1755752.59986001,5239737.55893609,3503700.1939282,1975425.03904244,3978040.92589456,2781884.61380059,271860.83058222,611747.977723795,678101.146031299,1921765.10830017,1576961.09895067,7977492.13812492,3315380.14727341,1436690.2807663,1218061.58199602,1706271.88434042,2231128.7542295,1287480.49382551,2225551.65727436,307288.407965,654375.226434311,212734.304693571,1018048.89757612,1713196.96015925,1939309.89286138,1771455.78714946,2878042.43692674,2226692.368768,3653318.79874578,97267.8892035608,461570.111041557,3055039.26853415,262397.507034602,1105745.15286091,2183085.24340587,935415.121815842,2312873.4304211,3785504.76507452,551022.869238041,280814.068836467,1332030.3174758,2190916.11758022,1479265.12683764,2715252.40924048,3258977.21158301,0,894580.912065582,3678955.35939318,897402.45480382,1380499.5364561,2801273.9127967
"Virginia",896564.943107379,5539964.18847802,2968483.24925022,1255061.98287709,3570125.37318666,2333693.55856245,695625.806165011,335323.163710416,222912.875978416,1041418.45315747,684074.370856047,7591089.47915803,3079102.34534059,940585.936445419,697427.126873451,1349869.7608544,1715072.84352089,569879.061057627,1403812.60220474,1183522.47140563,248067.72946851,799407.745666564,937061.641345217,1604691.64679207,1118466.51368924,1198382.24717258,2728117.76467954,1849809.25457934,3280921.70434541,919396.1321865,468414.613583636,2474224.84733805,666184.130728596,223321.067844334,2080560.27728297,459261.140731955,1679754.31909617,3555223.55585619,383601.5271958,777759.491194373,440553.078961168,1948614.75065717,694744.751947702,1991646.05673904,2857227.36703824,894580.912065582,0,3544889.10871397,198805.874800304,1222261.92929047,2502517.73966104
"Washington",3257633.71206846,2677814.78855221,1630994.52727988,2707696.50443769,1135679.81395535,1523590.29276629,3787587.22699349,3715233.15028157,3605624.40561215,3876398.7477864,3513168.44092215,4413722.64772531,564343.317059359,2626805.92537582,2853700.87054662,2202580.20193642,2043793.16279462,3059380.39259269,3023645.4559982,3874108.25187649,3614624.43495242,3825153.25445841,2718194.83026519,1988844.53622886,3058369.26193898,2479662.21772482,819276.503089629,1760571.31950143,946419.074101425,3776091.46101049,3713975.8860239,1874007.46822828,3515773.62188487,3622737.87225623,1503708.27809865,3096473.53896464,2307581.05194426,383435.502495405,3443543.88789264,3872344.63399724,3614896.91526758,1597609.12041982,3084605.85000973,2518846.31576495,1143756.42472978,3678955.35939318,3544889.10871397,0,3348020.01911978,2363316.33694741,1122753.60553776
"West Virginia",858805.167004701,5350492.33549916,2810265.20675347,1133182.20022881,3394287.45932167,2158233.65594953,749514.062732979,446101.107912648,314933.234528061,1123110.57425105,712854.813994113,7418786.32334448,2886204.98630466,754994.196673389,507689.241889343,1156717.68050677,1545275.42523531,428423.355167542,1335110.2396824,1201051.84831417,335779.475881632,848239.827924447,748946.638904857,1406189.06314703,1047628.10850592,1032210.27439065,2530714.4717249,1662749.77097216,3100058.84632951,942008.540066659,540373.972577817,2322840.69289167,643430.852157597,359553.899919146,1881758.71515883,261276.087631328,1534879.38751811,3362916.62653203,346695.591617581,842188.928547146,524771.314883523,1752685.50616522,594482.726075603,1877909.66420287,2678289.91606533,897402.45480382,198805.874800304,3348020.01911978,0,1024172.73714025,2312164.92731713
"Wisconsin",1343134.09103523,4355138.20089763,2180081.16735228,1100418.69207838,2600632.79685983,1432444.66461037,1441186.82763955,1354254.65839835,1249847.54197028,1896683.21849245,1446114.81558249,6598173.82188786,1951115.13047158,513253.473102611,608026.558970361,400952.11491914,975235.392005887,880157.681578892,1514734.86981249,1633819.62088042,1256843.30059784,1492202.50331219,365899.367195907,384135.695350999,1319981.49015226,725785.45132294,1545152.43654234,867931.515427227,2273415.2910881,1473633.28337077,1351366.04893932,1785323.51201074,1177548.99353938,1351220.0935255,868489.304789651,763032.351842098,1188513.89066888,2426796.13682227,1080228.37853582,1531559.84123133,1422519.81995879,812997.576463047,1021294.48342264,1671153.92093962,1884807.77099708,1380499.5364561,1222261.92929047,2363316.33694741,1024172.73714025,0,1421399.56482162
"Wyoming",2137785.92846878,3655989.23231434,1031772.95437667,1584986.58343935,1202166.2167926,474926.195744925,2854643.31388206,2716018.83706186,2595925.38565698,2754820.62111799,2401446.79497245,5176776.75867075,588853.062666734,1563452.68050029,1805368.42989567,1157825.6344895,921051.916826093,1980408.74818696,1908976.09601656,3045445.74521922,2608733.97915474,2910901.929403,1786450.6203878,1110913.7095659,1935616.41874416,1373627.74164956,479749.333842089,659808.480493407,863366.622970489,2894853.43651679,2741259.95853102,961555.671396233,2596333.62119835,2552440.56250229,744252.283885191,2076783.68986906,1193727.85835178,1056619.56471447,2465588.2631888,2947330.90787812,2521423.5971533,611566.052521703,1982864.94815811,1470175.8886915,536053.459107324,2801273.9127967,2502517.73966104,1122753.60553776,2312164.92731713,1421399.56482162,0
